Time,Vehicle,Speed,Plate,Violation,Image
1781657460,Car,41.8,Unknown,Overspeed,violation_images/Overspeed_Car_1781657460.jpg
1781657485,Car,58.9,Unknown,Overspeed,violation_images/Overspeed_Car_1781657485.jpg
1781657521,Car,40.4,Unknown,Overspeed,violation_images/Overspeed_Car_1781657521.jpg
1781657551,Car,42.2,Unknown,Overspeed,violation_images/Overspeed_Car_1781657551.jpg
1781657577,Car,43.0,Unknown,Overspeed,violation_images/Overspeed_Car_1781657577.jpg
1781657594,Car,42.4,Unknown,Overspeed,violation_images/Overspeed_Car_1781657594.jpg
1781657603,Car,3.5,Unknown,Lane Change,violation_images/Lane Change_Car_1781657603.jpg
1781657631,Truck,52.0,Unknown,Overspeed,violation_images/Overspeed_Truck_1781657631.jpg
1781657653,Car,40.7,Unknown,Overspeed,violation_images/Overspeed_Car_1781657653.jpg
1781657678,Car,43.8,Unknown,Overspeed,violation_images/Overspeed_Car_1781657678.jpg
1781657681,Truck,26.9,Unknown,Lane Change,violation_images/Lane Change_Truck_1781657681.jpg
1781657724,Bus,40.3,Unknown,Overspeed,violation_images/Overspeed_Bus_1781657724.jpg
1781657773,Car,43.0,Unknown,Overspeed,violation_images/Overspeed_Car_1781657773.jpg
1781657784,Truck,41.5,Unknown,Overspeed,violation_images/Overspeed_Truck_1781657784.jpg
1781657807,Car,40.4,Unknown,Overspeed,violation_images/Overspeed_Car_1781657807.jpg
1781657826,Car,41.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781657826.jpg
1781657841,Car,44.4,Unknown,Overspeed,violation_images/Overspeed_Car_1781657841.jpg
1781657923,Car,43.0,Unknown,Overspeed,violation_images/Overspeed_Car_1781657923.jpg
1781657934,Car,42.6,Unknown,Overspeed,violation_images/Overspeed_Car_1781657934.jpg
1781657938,Car,42.4,Unknown,Overspeed,violation_images/Overspeed_Car_1781657938.jpg
1781657944,Car,40.7,Unknown,Overspeed,violation_images/Overspeed_Car_1781657944.jpg
1781657961,Truck,40.9,Unknown,Overspeed,violation_images/Overspeed_Truck_1781657961.jpg
1781658016,Car,49.9,Unknown,Overspeed,violation_images/Overspeed_Car_1781658016.jpg
1781658017,Car,41.4,Unknown,Overspeed,violation_images/Overspeed_Car_1781658017.jpg
1781658029,Car,45.4,Unknown,Overspeed,violation_images/Overspeed_Car_1781658029.jpg
1781658052,Car,42.6,Unknown,Overspeed,violation_images/Overspeed_Car_1781658052.jpg
1781658067,Car,49.2,Unknown,Overspeed,violation_images/Overspeed_Car_1781658067.jpg
1781658090,Car,41.9,Unknown,Overspeed,violation_images/Overspeed_Car_1781658090.jpg
1781658116,Car,57.6,Unknown,Overspeed,violation_images/Overspeed_Car_1781658116.jpg
1781658120,Car,58.7,G,Overspeed,violation_images/Overspeed_Car_1781658120.jpg
1781658138,Car,60.8,Unknown,Overspeed,violation_images/Overspeed_Car_1781658138.jpg
1781658143,Bus,40.6,Unknown,Overspeed,violation_images/Overspeed_Bus_1781658143.jpg
1781658153,Car,53.3,Unknown,Overspeed,violation_images/Overspeed_Car_1781658153.jpg
1781658159,Truck,43.4,Unknown,Overspeed,violation_images/Overspeed_Truck_1781658159.jpg
1781658162,Car,51.6,Unknown,Overspeed,violation_images/Overspeed_Car_1781658162.jpg
1781658197,Car,41.9,Unknown,Overspeed,violation_images/Overspeed_Car_1781658197.jpg
1781658218,Car,53.1,Unknown,Overspeed,violation_images/Overspeed_Car_1781658218.jpg
1781658220,Truck,47.1,Unknown,Overspeed,violation_images/Overspeed_Truck_1781658220.jpg
1781658249,CNG/Auto/Bike,47.4,Unknown,Overspeed,violation_images/Overspeed_CNG/Auto/Bike_1781658249.jpg
1781658251,Car,40.1,Unknown,Overspeed,violation_images/Overspeed_Car_1781658251.jpg
1781658256,Car,53.2,Unknown,Overspeed,violation_images/Overspeed_Car_1781658256.jpg
1781658265,Truck,48.5,2-,Overspeed,violation_images/Overspeed_Truck_1781658265.jpg
1781658270,Car,52.8,Unknown,Overspeed,violation_images/Overspeed_Car_1781658270.jpg
